泳ぐ女	泳ぐ女 🏊‍♀️
泳ぐ男	泳ぐ男 🏊‍♂️
重量挙げをする人	重量挙げをする人 🏋
重量挙げをする女	重量挙げをする女 🏋️‍♀️
重量挙げをする男	重量挙げをする男 🏋️‍♂️
ゴルフをする人	ゴルフをする人 🏌
ゴルフをする女	ゴルフをする女 🏌️‍♀️
ゴルフをする男	ゴルフをする男 🏌️‍♂️
ボートをこぐ人	ボートをこぐ人 🚣
ボートをこぐ女	ボートをこぐ女 🚣‍♀️
ボートをこぐ男	ボートをこぐ男 🚣‍♂️
自転車に乗る人	自転車に乗る人 🚴
自転車に乗る女	自転車に乗る女 🚴‍♀️
自転車に乗る男	自転車に乗る男 🚴‍♂️
マウンテンバイクに乗る人	マウンテンバイクに乗る人 🚵
マウンテンバイクに乗る女	マウンテンバイクに乗る女 🚵‍♀️
マウンテンバイクに乗る男	マウンテンバイクに乗る男 🚵‍♂️
側転する人	側転する人 🤸
側転する女	側転する女 🤸‍♀️
側転する男	側転する男 🤸‍♂️
ジャグリングをする人	ジャグリングをする人 🤹
ジャグリングをする女	ジャグリングをする女 🤹‍♀️
ジャグリングをする男	ジャグリングをする男 🤹‍♂️
フェンシングをする人	フェンシングをする人 🤺
レスリングする人	レスリングする人 🤼
レスリングする女	レスリングする女 🤼‍♀️
レスリングする男	レスリングする男 🤼‍♂️
水球をする人	水球をする人 🤽
水球をする女	水球をする女 🤽‍♀️
水球をする男	水球をする男 🤽‍♂️
ハンドボールをする人	ハンドボールをする人 🤾
ハンドボールをする女	ハンドボールをする女 🤾‍♀️
ハンドボールをする男	ハンドボールをする男 🤾‍♂️
風呂に入る人	風呂に入る人 🛀
ベッドに寝る人	ベッドに寝る人 🛌
ヨガのポーズをする人	ヨガのポーズをする人 🧘
ヨガのポーズをする女	ヨガのポーズをする女 🧘‍♀️
ヨガのポーズをする男	ヨガのポーズをする男 🧘‍♂️
カップルとハート: 男性 男性	カップルとハート: 男性 男性 👨‍❤️‍👨
2人でキス: 男性 男性	2人でキス: 男性 男性 👨‍❤️‍💋‍👨
家族: 男性 男の子	家族: 男性 男の子 👨‍👦
家族: 男性 男の子 男の子	家族: 男性 男の子 男の子 👨‍👦‍👦
家族: 男性 女の子	家族: 男性 女の子 👨‍👧
家族: 男性 女の子 男の子	家族: 男性 女の子 男の子 👨‍👧‍👦
家族: 男性 女の子 女の子	家族: 男性 女の子 女の子 👨‍👧‍👧
家族: 男性 男性 男の子	家族: 男性 男性 男の子 👨‍👨‍👦
家族: 男性 男性 男の子 男の子	家族: 男性 男性 男の子 男の子 👨‍👨‍👦‍👦
家族: 男性 男性 女の子	家族: 男性 男性 女の子 👨‍👨‍👧
家族: 男性 男性 女の子 男の子	家族: 男性 男性 女の子 男の子 👨‍👨‍👧‍👦
家族: 男性 男性 女の子 女の子	家族: 男性 男性 女の子 女の子 👨‍👨‍👧‍👧
家族: 男性 女性 男の子	家族: 男性 女性 男の子 👨‍👩‍👦
家族: 男性 女性 男の子 男の子	家族: 男性 女性 男の子 男の子 👨‍👩‍👦‍👦
家族: 男性 女性 女の子	家族: 男性 女性 女の子 👨‍👩‍👧
家族: 男性 女性 女の子 男の子	家族: 男性 女性 女の子 男の子 👨‍👩‍👧‍👦
家族: 男性 女性 女の子 女の子	家族: 男性 女性 女の子 女の子 👨‍👩‍👧‍👧
カップルとハート: 女性 男性	カップルとハート: 女性 男性 👩‍❤️‍👨
カップルとハート: 女性 女性	カップルとハート: 女性 女性 👩‍❤️‍👩
2人でキス: 女性 男性	2人でキス: 女性 男性 👩‍❤️‍💋‍👨
